class,area,year,id,
'Campo Alagado e Área Pantanosa',149560.3598,1995,1,
'Formação Campestre',33511.19131,1995,1,
'Apicum',354.6824803,1995,1,
'Afloramento Rochoso',9363.021797,1995,1,
'Restinga Herbácea',3617.524373,1995,1,
'Pastagem',4744800.653,1995,1,
'Soja',3396344.464,1995,1,
'Cana',56630.18503,1995,1,
'Arroz',79.79221476,1995,1,
'Algodão (beta)',0,1995,1,
'Outras Lavouras Temporárias',2405594.585,1995,1,
'Café',51679.27515,1995,1,
'Outras Lavouras Perenes',504.6787206,1995,1,
'Silvicultura',559162.1375,1995,1,
'Mosaico de Usos',2786353.075,1995,1,
'Praia  Duna e Areal',434.8077404,1995,1,
'Área Urbanizada',172217.029,1995,1,
'Mineração',1793.14804,1995,1,
'Outras Áreas não Vegetadas',2922.189135,1995,1,
'Rio Lago e Oceano',395413.947,1995,1,
'Aquicultura',0,1995,1,
'Formação Florestal',4985440.547,1996,1,
'Formação Savânica',135.5841039,1996,1,
'Mangue',20659.98991,1996,1,
'Restinga Arbórea',134540.5165,1996,1,
'Campo Alagado e Área Pantanosa',148287.4722,1996,1,
'Formação Campestre',33705.36668,1996,1,
'Apicum',328.6305694,1996,1,
'Afloramento Rochoso',9361.902108,1996,1,
'Restinga Herbácea',3651.195585,1996,1,
'Pastagem',4672236.871,1996,1,
'Soja',3150760.658,1996,1,
'Cana',65892.38173,1996,1,
'Arroz',59.31585924,1996,1,
'Algodão (beta)',0,1996,1,
'Outras Lavouras Temporárias',2707875.458,1996,1,
'Café',49038.39001,1996,1,
'Outras Lavouras Perenes',708.1318995,1996,1,
'Silvicultura',568278.4164,1996,1,
'Mosaico de Usos',2799252.024,1996,1,
'Praia  Duna e Areal',468.2476332,1996,1,
'Área Urbanizada',176003.1235,1996,1,
'Mineração',1884.573479,1996,1,
'Outras Áreas não Vegetadas',2909.999258,1996,1,
'Rio Lago e Oceano',396407.0245,1996,1,
'Aquicultura',0,1996,1,
'Formação Florestal',4959659.453,1997,1,
'Formação Savânica',150.9364214,1997,1,
'Mangue',20651.65914,1997,1,
'Restinga Arbórea',134030.4291,1997,1,
'Campo Alagado e Área Pantanosa',146810.0726,1997,1,
'Formação Campestre',32628.00802,1997,1,
'Apicum',337.6603317,1997,1,
'Afloramento Rochoso',9356.446144,1997,1,
'Restinga Herbácea',3656.503887,1997,1,
'Pastagem',4585331.513,1997,1,
'Soja',3080132.917,1997,1,
'Cana',73603.74548,1997,1,
'Arroz',96.43502539,1997,1,
'Algodão (beta)',0,1997,1,
'Outras Lavouras Temporárias',2798409.333,1997,1,
