mun;grupos;num;area;n_af_nao;n_af_sim;area_af_nao;area_af_sim;usa_agrotoxico;nao_usa_agrotoxico;naf_usa_agrotoxico;naf_nao_usa_agrotoxico;af_usa_agrotoxico;af_nao_usa_agrotoxico;naf_organico;naf_n_organico;af_organico;af_n_organico;;
Altamira do Paraná;De 100 a menos de 200 ha;38;5725;38;0;5725;0;31;7;31;7;0;0;0;4;0;0;;
Altamira do Paraná;De 200 a menos de 500 ha;18;6060;18;0;6060;0;14;4;14;4;0;0;0;1;0;0;;
Altamira do Paraná;De 500 a menos de 1.000 ha;11;7844;11;0;7844;0;10;1;10;1;0;0;0;0;0;0;;
Altamira do Paraná;De 1.000 a menos de 2.500 ha;5;6766;5;0;6766;0;2;3;2;3;0;0;0;3;0;0;;
Altamira do Paraná;De 2.500 a menos de 10.000 ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Altamira do Paraná;De 10.000 ha e mais;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Altamira do Paraná;Produtor sem área;3;0;1;2;0;0;0;2;0;0;0;2;0;0;0;2;;
Altônia;Mais de 0 a menos de 0,1 ha;61;2;13;48;0;2;4;57;0;13;4;44;0;13;0;43;;
Altônia;De 0,1 a menos de 0,2 ha;24;3;1;23;0;0;0;24;0;1;0;23;0;1;0;21;;
Altônia;De 0,2 a menos de 0,5 ha;35;12;7;28;2;10;2;33;1;6;1;27;1;5;0;26;;
Altônia;De 0,5 a menos de 1 ha;78;46;12;66;8;38;18;60;3;9;15;51;0;6;1;46;;
Altônia;De 1 a menos de 2 ha;84;115;14;70;18;96;18;66;6;8;12;58;0;5;1;44;;
Altônia;De 2 a menos de 3 ha;110;273;15;95;38;235;25;85;4;11;21;74;1;6;0;56;;
Altônia;De 3 a menos de 4 ha;89;315;10;79;37;278;17;72;2;8;15;64;1;3;1;38;;
Altônia;De 4 a menos de 5 ha;107;503;15;92;72;431;22;85;2;13;20;72;0;6;2;41;;
Altônia;De 5 a menos de 10 ha;292;2209;26;266;206;2003;82;210;6;20;76;190;0;12;5;116;;
Altônia;De 10 a menos de 20 ha;283;4076;29;254;439;3637;74;209;8;21;66;188;0;11;3;119;;
Altônia;De 20 a menos de 50 ha;223;7077;18;205;582;6495;71;152;11;7;60;145;0;3;1;74;;
Altônia;De 50 a menos de 100 ha;93;6326;25;68;2094;4232;32;61;11;14;21;47;0;10;0;24;;
Altônia;De 100 a menos de 200 ha;54;7204;54;0;7204;0;29;25;29;25;0;0;0;10;0;0;;
Altônia;De 200 a menos de 500 ha;23;6798;23;0;6798;0;16;7;16;7;0;0;0;3;0;0;;
Altônia;De 500 a menos de 1.000 ha;10;7160;10;0;7160;0;3;7;3;7;0;0;0;4;0;0;;
Altônia;De 1.000 a menos de 2.500 ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Altônia;De 2.500 a menos de 10.000 ha;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;;
Altônia;De 10.000 ha e mais;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Altônia;Produtor sem área;4;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;;
Alto Paraná;Mais de 0 a menos de 0,1 ha;3;0;0;3;0;0;1;2;0;0;1;2;0;0;0;1;;
Alto Paraná;De 0,1 a menos de 0,2 ha;2;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;;
Alto Paraná;De 0,2 a menos de 0,5 ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Alto Paraná;De 0,5 a menos de 1 ha;48;24;16;32;8;16;11;37;3;13;8;24;3;8;3;17;;
Alto Paraná;De 1 a menos de 2 ha;9;11;4;5;0;0;2;7;1;3;1;4;0;3;1;1;;
Alto Paraná;De 2 a menos de 3 ha;19;45;9;10;21;25;12;7;6;3;6;4;0;3;0;2;;
Alto Paraná;De 3 a menos de 4 ha;12;41;2;10;0;0;5;7;1;1;4;6;0;1;0;3;;
Alto Paraná;De 4 a menos de 5 ha;29;138;12;17;57;82;11;18;2;10;9;8;0;9;1;7;;
Alto Paraná;De 5 a menos de 10 ha;85;652;26;59;198;454;49;36;12;14;37;22;1;11;0;16;;
Alto Paraná;De 10 a menos de 20 ha;95;1375;26;69;364;1011;49;46;13;13;36;33;0;9;0;24;;
Alto Paraná;De 20 a menos de 50 ha;127;4203;35;92;1149;3054;63;64;17;18;46;46;0;8;1;28;;
Alto Paraná;De 50 a menos de 100 ha;70;5151;39;31;3111;2040;50;20;31;8;19;12;0;8;0;5;;
Alto Paraná;De 100 a menos de 200 ha;48;6557;48;0;6557;0;29;19;29;19;0;0;0;10;0;0;;
Alto Paraná;De 200 a menos de 500 ha;32;9077;32;0;9077;0;28;4;28;4;0;0;0;2;0;0;;
Alto Paraná;De 500 a menos de 1.000 ha;4;3281;4;0;3281;0;3;1;3;1;0;0;0;0;0;0;;
Alto Paraná;De 1.000 a menos de 2.500 ha;2;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;;
Alto Paraná;De 2.500 a menos de 10.000 ha;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;;
Alto Paraná;De 10.000 ha e mais;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Alto Paraná;Produtor sem área;6;0;1;5;0;0;0;1;0;0;0;1;0;0;0;1;;
Alto Piquiri;Mais de 0 a menos de 0,1 ha;39;1;12;27;0;1;0;39;0;12;0;27;0;11;0;27;;
Alto Piquiri;De 0,1 a menos de 0,2 ha;17;2;10;7;1;1;1;16;0;10;1;6;0;10;0;6;;
Alto Piquiri;De 0,2 a menos de 0,5 ha;38;12;13;25;5;8;3;35;3;10;0;25;0;10;1;20;;
Alto Piquiri;De 0,5 a menos de 1 ha;182;99;72;110;40;59;51;131;18;54;33;77;4;43;10;52;;
Alto Piquiri;De 1 a menos de 2 ha;15;18;7;8;9;10;2;13;0;7;2;6;0;7;0;6;;
Alto Piquiri;De 2 a menos de 3 ha;34;83;14;20;34;48;7;27;1;13;6;14;0;13;0;13;;
Alto Piquiri;De 3 a menos de 4 ha;29;104;14;15;50;54;3;26;0;14;3;12;0;14;2;8;;
Alto Piquiri;De 4 a menos de 5 ha;29;140;10;19;48;92;5;24;1;9;4;15;0;8;0;13;;
Alto Piquiri;De 5 a menos de 10 ha;74;542;16;58;120;422;13;61;1;15;12;46;0;12;0;40;;
Alto Piquiri;De 10 a menos de 20 ha;76;1030;10;66;137;893;27;49;0;10;27;39;0;10;1;33;;
Alto Piquiri;De 20 a menos de 50 ha;77;2300;8;69;255;2045;47;30;3;5;44;25;0;5;0;20;;
Alto Piquiri;De 50 a menos de 100 ha;39;2793;7;32;665;2127;31;8;6;1;25;7;0;0;0;7;;
Alto Piquiri;De 100 a menos de 200 ha;46;6614;46;0;6614;0;39;7;39;7;0;0;0;5;0;0;;
Alto Piquiri;De 200 a menos de 500 ha;34;9932;34;0;9932;0;31;3;31;3;0;0;0;3;0;0;;
Alto Piquiri;De 500 a menos de 1.000 ha;6;3884;6;0;3884;0;6;0;6;0;0;0;0;0;0;0;;
Alto Piquiri;De 1.000 a menos de 2.500 ha;4;0;4;0;0;0;4;0;4;0;0;0;0;0;0;0;;
Alto Piquiri;De 2.500 a menos de 10.000 ha;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;;
Alto Piquiri;De 10.000 ha e mais;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Alto Piquiri;Produtor sem área;14;0;7;7;0;0;0;0;0;0;0;0;0;0;0;0;;
Alvorada do Sul;Mais de 0 a menos de 0,1 ha;1;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;;
Alvorada do Sul;De 0,1 a menos de 0,2 ha;2;0;2;0;0;0;0;2;0;2;0;0;0;2;0;0;;
Alvorada do Sul;De 0,2 a menos de 0,5 ha;6;2;3;3;0;0;0;6;0;3;0;3;0;3;0;3;;
Alvorada do Sul;De 0,5 a menos de 1 ha;25;13;12;13;6;7;9;16;8;4;1;12;0;1;0;7;;
Alvorada do Sul;De 1 a menos de 2 ha;8;11;3;5;4;7;5;3;3;0;2;3;0;0;0;3;;
Alvorada do Sul;De 2 a menos de 3 ha;4;9;2;2;0;0;3;1;2;0;1;1;0;0;0;1;;
Alvorada do Sul;De 3 a menos de 4 ha;10;34;3;7;10;24;7;3;2;1;5;2;0;1;0;1;;
Alvorada do Sul;De 4 a menos de 5 ha;9;41;2;7;0;0;5;4;0;2;5;2;0;2;0;1;;
